마나, 193, 60
다마, 174, 97
카다, 153, 51
마바, 183, 81
아카, 179, 96
라바, 159, 63
마가, 178, 81
라사, 189, 65
파하, 184, 57
라차, 196, 64
사라, 156, 53
카하, 172, 94
라하, 176, 99
가라, 174, 77
바차, 151, 57
자다, 179, 84
나마, 174, 59
바자, 164, 74
하다, 184, 65
타하, 191, 67
카타, 191, 68
사자, 189, 82
가차, 184, 55
자차, 193, 63
가사, 155, 63
하라, 194, 79
하라, 184, 96
카사, 177, 71
다나, 182, 73
아마, 188, 66
마다, 168, 67
마마, 174, 77
파타, 195, 82
하하, 190, 98
아자, 185, 65
가자, 155, 67
카마, 152, 82
마마, 153, 63
아하, 182, 79
나바, 176, 95
자하, 185, 89
바나, 183, 86
바마, 157, 57
타라, 192, 81
가카, 153, 60
바마, 156, 60
사바, 155, 89
파나, 162, 54
나라, 194, 88
카마, 184, 73
카카, 192, 81
타아, 151, 85
아바, 193, 57
나사, 151, 93
라카, 150, 55
가마, 158, 81
차다, 179, 81
하자, 161, 91
바바, 161, 95
카다, 165, 69
하파, 156, 88
카하, 167, 97
사바, 186, 79
아카, 181, 90
차다, 180, 56
카마, 175, 65
카가, 187, 98
바라, 171, 93
바자, 172, 65
나자, 159, 85
하차, 168, 85
다마, 163, 73
가차, 193, 91
바차, 164, 92
타차, 173, 55
카라, 174, 98
사타, 167, 92
하파, 169, 56
파카, 189, 88
파라, 191, 66
사카, 177, 70
가나, 195, 53
차라, 167, 59
타바, 186, 81
가파, 184, 50
아나, 198, 84
가자, 153, 76
아하, 166, 61
아바, 186, 87
자가, 156, 82
아나, 164, 64
마파, 152, 65
아바, 190, 87
자타, 158, 79
차바, 195, 62
타사, 152, 84
하파, 163, 86
자하, 199, 69
라가, 197, 91
파나, 165, 64
파가, 195, 58
타나, 188, 51
타파, 158, 95
타나, 167, 50
하마, 170, 98
사자, 158, 77
나사, 153, 83
타사, 188, 99
사아, 167, 79
파마, 152, 92
파자, 181, 86
사자, 190, 87
다사, 199, 63
라사, 166, 53
다아, 198, 85
아바, 180, 99
가마, 167, 59
파라, 176, 50
마차, 153, 57
자나, 182, 86
나차, 155, 76
다아, 158, 86
차가, 193, 91
차아, 169, 89
파사, 160, 90
차사, 168, 58
나파, 186, 50
마카, 191, 72
차파, 157, 83
가마, 185, 56
나마, 180, 54
카아, 161, 96
차가, 153, 56
사파, 199, 80
다하, 166, 64
카라, 177, 71
카사, 174, 69
나파, 191, 82
라사, 167, 59
사파, 174, 52
가차, 159, 95
사가, 177, 63
마마, 185, 82
사다, 195, 85
라차, 195, 51
나타, 195, 78
파하, 158, 57
차아, 195, 68
마마, 192, 67
사다, 174, 88
타아, 176, 56
가파, 198, 84
카타, 188, 73
아바, 159, 95
타마, 163, 67
하다, 157, 92
카바, 187, 50
다나, 182, 95
아파, 152, 86
라파, 164, 68
아다, 187, 96
가카, 197, 57
다카, 183, 50
자라, 178, 84
하파, 174, 95
카타, 167, 96
차아, 187, 86
타타, 169, 69
타타, 166, 62
가타, 188, 50
라나, 199, 64
차라, 159, 88
다가, 168, 53
사자, 178, 50
사사, 158, 74
파하, 184, 84
자가, 157, 78
하나, 198, 57
아차, 166, 91
라카, 180, 81
하사, 195, 70
나나, 153, 86
타가, 153, 53
가자, 179, 81
라마, 163, 59
라바, 173, 92
파자, 169, 85
다파, 198, 91
마차, 153, 82
라사, 181, 96
자카, 182, 53
바차, 166, 86
바카, 180, 97
차자, 159, 69
나타, 189, 93
마타, 163, 78
라사, 178, 87
하마, 190, 86
아아, 195, 79
라아, 181, 77
나아, 188, 96
바아, 179, 81
자바, 193, 73
사타, 171, 52
차나, 153, 67
카파, 158, 88
파나, 199, 59
나다, 180, 97
자나, 198, 81
하나, 171, 63
카자, 199, 78
마파, 195, 72
카마, 176, 93
자파, 192, 58
카타, 183, 91
마파, 177, 64
카사, 185, 92
가하, 152, 81
나라, 169, 83
차차, 150, 74
파라, 185, 72
다라, 171, 56
바카, 194, 93
라차, 173, 93
마카, 176, 55
나사, 196, 91
라아, 170, 83
하라, 172, 56
하파, 173, 69
사바, 161, 73
마아, 165, 72
차하, 154, 98
카가, 199, 71
사파, 197, 94
파아, 178, 85
다마, 158, 98
타카, 174, 94
나라, 157, 92
차가, 195, 82
